"id";"title";"goodreads_book_id";"best_book_id";"work_id";"books_count";"original_publication_year";"author_id";"isbn";"isbn13";"language_code";"likes";"image_url";"small_image_url";"genre_id";"dislikes"
8031;"Into the Land of the Unicorns (Unicorn Chronicles, #1)";114701;114701;299695;23;"1994.0";5480;"439108381";"9.78043910839e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";8;0
8032;"Girls' Night In";33723;33723;33774;3;"2004.0";5481;"373250746";"9.78037325074e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";9;0
8033;"The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients";21025;21025;22212;48;"2001.0";4077;"60938110";"9.78006093812e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";6;0
8034;"All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World";160830;160830;155231;28;"2005.0";3840;"1591841003";"9.781591841e+12";"en-US";0;"https://images.gr-assets.com/books/1420382656m/160830.jpg";"https://images.gr-assets.com/books/1420382656s/160830.jpg";1;0
8035;"Black Sun Rising (The Coldfire Trilogy, #1)";36159;36159;2498;23;"1991.0";5482;"756403146";"9.78075640314e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";2;0
8036;"City of Women";13593526;13593526;19173014;25;"2012.0";5483;"039915776X";"9.78039915777e+12";"";0;"https://images.gr-assets.com/books/1479779319m/13593526.jpg";"https://images.gr-assets.com/books/1479779319s/13593526.jpg";2;0
8037;"The Misanthrope";752994;752994;685838;184;"1666.0";4486;"486270653";"9.78048627065e+12";"eng";0;"https://images.gr-assets.com/books/1416873266m/752994.jpg";"https://images.gr-assets.com/books/1416873266s/752994.jpg";2;0
8038;"The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)";44660;44660;43992;4;"1984.0";3067;"345340442";"9.78034534044e+12";"eng";0;"https://images.gr-assets.com/books/1391347386m/44660.jpg";"https://images.gr-assets.com/books/1391347386s/44660.jpg";5;0
8039;"The Temple of My Familiar";60937;60937;1300300;28;"1989.0";2443;"753819481";"9.78075381949e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";17;0
8040;"Envy (Fallen Angels, #3)";9542259;9542259;14428619;26;"2011.0";2582;"349400202";"9.7803494002e+12";"eng";0;"https://images.gr-assets.com/books/1464568467m/9542259.jpg";"https://images.gr-assets.com/books/1464568467s/9542259.jpg";9;0
8041;"The Son (Divergent, #0.3)";18892134;18892134;25389332;8;"2014.0";2314;"";"";"eng";0;"https://images.gr-assets.com/books/1395049991m/18892134.jpg";"https://images.gr-assets.com/books/1395049991s/18892134.jpg";9;0
8042;"Seduce Me at Sunrise (The Hathaways, #2)";2948832;2948832;2978308;47;"2008.0";3711;"312949812";"9.78031294982e+12";"eng";0;"https://images.gr-assets.com/books/1390526497m/2948832.jpg";"https://images.gr-assets.com/books/1390526497s/2948832.jpg";3;0
8043;"The Problem with Forever";26721568;26721568;43959628;25;"2016.0";2751;"373212054";"9.78037321206e+12";"eng";0;"https://images.gr-assets.com/books/1452349399m/26721568.jpg";"https://images.gr-assets.com/books/1452349399s/26721568.jpg";2;0
8044;"Holding Up the Universe";28686840;28686840;48860979;32;"2016.0";2839;"385755929";"9.78038575592e+12";"eng";0;"https://images.gr-assets.com/books/1463377718m/28686840.jpg";"https://images.gr-assets.com/books/1463377718s/28686840.jpg";13;0
8045;"Take the Cannoli";12357;12357;748402;9;"2000.0";3683;"141006579";"9.78014100657e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";5;0
8046;"To Sell Is Human: The Surprising Truth About Moving Others";13593553;13593553;19181701;39;"2012.0";3156;"1594487154";"9.78159448716e+12";"";0;"https://images.gr-assets.com/books/1355138750m/13593553.jpg";"https://images.gr-assets.com/books/1355138750s/13593553.jpg";5;0
8047;"The Double Helix";126061;126061;452382;84;"1968.0";5484;"451037707";"9.7804510377e+12";"eng";0;"https://images.gr-assets.com/books/1384152213m/126061.jpg";"https://images.gr-assets.com/books/1384152213s/126061.jpg";12;0
8048;"Cook with Jamie";823412;823412;557068;10;"2006.0";5485;"718147715";"9.78071814772e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";6;0
8049;"House Harkonnen (Prelude to Dune #2)";20253;20253;705946;46;"2000.0";4855;"553580302";"9.7805535803e+12";"eng";0;"https://images.gr-assets.com/books/1403181168m/20253.jpg";"https://images.gr-assets.com/books/1403181168s/20253.jpg";5;0
8050;"Dream Warrior (Dream-Hunter #4; Dark-Hunter #17)";2992069;3992020;3022533;21;"2009.0";3243;"749909056";"9.78074990906e+12";"eng";0;"https://images.gr-assets.com/books/1358132728m/2992069.jpg";"https://images.gr-assets.com/books/1358132728s/2992069.jpg";8;0
8051;"Strength in What Remains: A Journey of Remembrance and Forgiveness";6282334;6282334;6466309;19;"2000.0";3176;"1400066212";"9.78140006622e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8052;"FRUiTS";46913;46913;45984;1;"2001.0";5486;"714840831";"9.78071484083e+12";"en-US";0;"https://images.gr-assets.com/books/1431398203m/46913.jpg";"https://images.gr-assets.com/books/1431398203s/46913.jpg";9;0
8053;"The Lord God Made Them All";38739;23014868;2897191;47;"1981.0";2879;"312966202";"9.7803129662e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";10;0
8054;"Then He Ate My Boy Entrancers (Confessions of Georgia Nicolson, #6)";112693;112693;3190836;39;"2005.0";2799;"7191480";"9.78000719148e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";14;0
8055;"The Frog and Toad Treasury: Frog and Toad are Friends/Frog and Toad Together/Frog and Toad All Year  (Frog and Toad #1-3)";94807;94807;91397;8;"1987.0";3123;"60267887";"9.78006026789e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";6;0
8056;"1Q84 #1-2 (1Q84, #1-2)";12254379;12254379;18525322;59;"2009.0";2552;"";"";"eng";0;"https://images.gr-assets.com/books/1327925087m/12254379.jpg";"https://images.gr-assets.com/books/1327925087s/12254379.jpg";13;0
8057;"Absent In The Spring";140345;140345;1507078;39;"1944.0";5487;"6499473";"9.78000649947e+12";"eng";0;"https://images.gr-assets.com/books/1396225976m/140345.jpg";"https://images.gr-assets.com/books/1396225976s/140345.jpg";8;0
8058;"Rock Chick Reckoning (Rock Chick, #6)";13065142;13065142;18230763;6;"2011.0";3789;"";"";"eng";0;"https://images.gr-assets.com/books/1328300013m/13065142.jpg";"https://images.gr-assets.com/books/1328300013s/13065142.jpg";12;0
8059;"Fish in a Tree";22402972;22402972;41828131;30;"2015.0";5179;"399162593";"9.7803991626e+12";"eng";0;"https://images.gr-assets.com/books/1403181554m/22402972.jpg";"https://images.gr-assets.com/books/1403181554s/22402972.jpg";4;0
8060;"The Inn at Rose Harbor (Rose Harbor #1)";13414594;13414594;18713722;41;"2012.0";4459;"345528921";"9.78034552893e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";9;0
8061;"Lady Almina and the Real Downton Abbey: The Lost Legacy of Highclere Castle";12926432;12926432;16690598;41;"2011.0";5488;"770435629";"9.78077043562e+12";"eng";0;"https://images.gr-assets.com/books/1344371479m/12926432.jpg";"https://images.gr-assets.com/books/1344371479s/12926432.jpg";12;0
8062;"Dies the Fire (Emberverse, #1)";116445;116445;1789199;17;"2004.0";5489;"451460413";"9.78045146042e+12";"eng";0;"https://images.gr-assets.com/books/1414175443m/116445.jpg";"https://images.gr-assets.com/books/1414175443s/116445.jpg";5;0
8063;"Stranger Child (DCI Tom Douglas, #4)";24859245;24859245;44290391;16;"2015.0";4596;"";"";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
8064;"The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron";113576;113576;1604;11;"2003.0";5490;"1591840538";"9.78159184053e+12";"";0;"https://images.gr-assets.com/books/1309204701m/113576.jpg";"https://images.gr-assets.com/books/1309204701s/113576.jpg";17;0
8065;"Another Brooklyn";27213163;27213163;47255158;18;"2016.0";3650;"62359983";"9.78006235999e+12";"eng";0;"https://images.gr-assets.com/books/1491253077m/27213163.jpg";"https://images.gr-assets.com/books/1491253077s/27213163.jpg";10;0
8066;"Beneath a Marble Sky";94672;94672;3338224;29;"2004.0";5491;"451218469";"9.78045121847e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";10;0
8067;"Mount Dragon";39032;39032;1295464;52;"1996.0";3082;"765354934";"9.78076535494e+12";"";0;"https://images.gr-assets.com/books/1312037682m/39032.jpg";"https://images.gr-assets.com/books/1312037682s/39032.jpg";13;0
8068;"The Face of Fear";64960;64960;1572345;41;"1977.0";5492;"042511984X";"9.78042511985e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8069;"Journals";58547;58547;57016;28;"2002.0";5493;"157322359X";"9.78157322359e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";9;0
8070;"Gone (Michael Bennett, #6)";17333279;17333279;24064583;38;"2013.0";2472;"316210986";"9.78031621098e+12";"eng";0;"https://images.gr-assets.com/books/1369155131m/17333279.jpg";"https://images.gr-assets.com/books/1369155131s/17333279.jpg";3;0
8071;"Cosmopolis";28703;28703;3019373;75;"2003.0";3020;"330412744";"9.78033041274e+12";"en-GB";0;"https://images.gr-assets.com/books/1328389098m/28703.jpg";"https://images.gr-assets.com/books/1328389098s/28703.jpg";12;0
8072;"Wait Till Helen Comes";267972;267972;259783;29;"1986.0";5494;"380704420";"9.78038070442e+12";"eng";0;"https://images.gr-assets.com/books/1486692223m/267972.jpg";"https://images.gr-assets.com/books/1486692223s/267972.jpg";7;0
8073;"Very Valentine";3673357;3673357;3716647;39;"2009.0";3153;"61257052";"9.78006125706e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";17;0
8074;"Fables, Vol. 8: Wolves";21324;21324;22505;12;"2006.0";2909;"1401210015";"9.78140121001e+12";"eng";0;"https://images.gr-assets.com/books/1375393296m/21324.jpg";"https://images.gr-assets.com/books/1375393296s/21324.jpg";16;0
8075;"Light a Penny Candle";41962;41962;888796;63;"1982.0";3167;"009949857X";"9.78009949858e+12";"eng";0;"https://images.gr-assets.com/books/1320391955m/41962.jpg";"https://images.gr-assets.com/books/1320391955s/41962.jpg";7;0
8076;"Dark Demon (Dark, #16)";184324;184324;3266642;20;"2002.0";3826;"515140880";"9.78051514088e+12";"eng";0;"https://images.gr-assets.com/books/1309288721m/184324.jpg";"https://images.gr-assets.com/books/1309288721s/184324.jpg";9;0
8077;"The Walking Dead, Vol. 14: No Way Out";10822174;10822174;15245057;19;"2011.0";2624;"1607063921";"9.78160706393e+12";"eng";0;"https://images.gr-assets.com/books/1327883131m/10822174.jpg";"https://images.gr-assets.com/books/1327883131s/10822174.jpg";1;0
8078;"The Walking Dead, Book Two (The Walking Dead #13-24)";138399;138399;13328488;8;"2005.0";2624;"1582406987";"9.78158240698e+12";"eng";0;"https://images.gr-assets.com/books/1366213424m/138399.jpg";"https://images.gr-assets.com/books/1366213424s/138399.jpg";7;0
8079;"Cosmicomics";59780;59780;865267;65;"1965.0";3316;"156226006";"9.780156226e+12";"en-US";0;"https://images.gr-assets.com/books/1327975008m/59780.jpg";"https://images.gr-assets.com/books/1327975008s/59780.jpg";8;0
8080;"Possessing the Secret of Joy";60935;60935;435527;1;"1992.0";2443;"671789457";"9.78067178946e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";17;0
8081;"Way Station";190999;190999;348798;60;"1963.0";5495;"20248717";"9.78002024871e+12";"eng";0;"https://images.gr-assets.com/books/1326490682m/190999.jpg";"https://images.gr-assets.com/books/1326490682s/190999.jpg";3;0
8082;"My Soul to Keep (Soul Screamers, #3)";7476122;7476122;6847345;25;"2010.0";4164;"373210051";"9.78037321005e+12";"eng";0;"https://images.gr-assets.com/books/1268059270m/7476122.jpg";"https://images.gr-assets.com/books/1268059270s/7476122.jpg";11;0
8083;"The Return of the Prodigal Son: A Story of Homecoming";175113;175113;169164;40;"1991.0";5496;"023252078X";"9.78023252078e+12";"eng";0;"https://images.gr-assets.com/books/1327010857m/175113.jpg";"https://images.gr-assets.com/books/1327010857s/175113.jpg";8;0
8084;"Naked Economics: Undressing the Dismal Science";33293;7937510;2074000;25;"2002.0";5497;"393324869";"9.78039332486e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";17;0
8085;"Magic Steps (The Circle Opens, #1)";153781;153781;1112036;19;"2000.0";3096;"590396056";"9.78059039606e+12";"";0;"https://images.gr-assets.com/books/1366188641m/153781.jpg";"https://images.gr-assets.com/books/1366188641s/153781.jpg";14;0
8086;"Someone to Love (Someone to Love, #1)";16233105;17944662;22227144;13;"2012.0";5498;"";"";"en-US";0;"https://images.gr-assets.com/books/1355429121m/16233105.jpg";"https://images.gr-assets.com/books/1355429121s/16233105.jpg";14;0
8087;"The Lions of Al-Rassan";104101;104101;955081;38;"1995.0";3946;"60733497";"9.78006073349e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";9;0
8088;"Such a Pretty Girl";162086;162086;156439;15;"2007.0";5499;"1416521836";"9.78141652184e+12";"eng";0;"https://images.gr-assets.com/books/1336185676m/162086.jpg";"https://images.gr-assets.com/books/1336185676s/162086.jpg";14;0
8089;"Until Trevor (Until, #2)";18340482;18340482;25894056;13;"2013.0";4570;"";"";"eng";0;"https://images.gr-assets.com/books/1384492152m/18340482.jpg";"https://images.gr-assets.com/books/1384492152s/18340482.jpg";17;0
8090;"Scruples";350065;350065;340317;42;"1978.0";5500;"297775340";"9.78029777535e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";11;0
8091;"Prayers for Sale";4618898;4618898;4668853;16;"1997.0";5501;"312385188";"9.78031238519e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
8092;"Savages";8008928;8008928;12548735;49;"2010.0";5054;"1439183368";"9.78143918337e+12";"eng";0;"https://images.gr-assets.com/books/1368577399m/8008928.jpg";"https://images.gr-assets.com/books/1368577399s/8008928.jpg";8;0
8093;"Dark Rivers of the Heart";15760;15760;359575;49;"1994.0";2546;"553582895";"9.7805535829e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";4;0
8094;"What We Keep ";226858;226858;219740;14;"1998.0";3334;"345423291";"9.78034542329e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";13;0
8095;"Nothing";6647312;6647312;6841835;65;"2000.0";5502;"1416985794";"9.78141698579e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
8096;"Sleeping Beauty Box Set";26581;26581;3470;11;"1983.0";3590;"452156610";"9.78045215662e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";7;0
8097;"100 Bullets, Vol. 1: First Shot, Last Call";94510;94510;2647240;13;"1999.0";4090;"1563896451";"9.78156389645e+12";"eng";0;"https://images.gr-assets.com/books/1327888942m/94510.jpg";"https://images.gr-assets.com/books/1327888942s/94510.jpg";14;0
